,PSZACcontroller_oveHeaCor_u,PSZACcontroller_oveHeaPer1_u,PSZACcontroller_oveHeaPer2_u,PSZACcontroller_oveHeaPer3_u,PSZACcontroller_oveHeaPer4_u,TDryBul,HGloHor,Occupancy[core_zn],Occupancy[perimeter_zn_1],Occupancy[perimeter_zn_2],Occupancy[perimeter_zn_3],Occupancy[perimeter_zn_4],senTemRoom_y,senTemRoom1_y,senTemRoom2_y,senTemRoom3_y,senTemRoom4_y,timestamp
2020-01-19 10:35:00,0.24,0.252,0.572,0.293,0.621,0.6,206.25,14.2177,10.77775,6.3935,10.77775,6.3935,307.31599089913556,305.83746984817424,314.1808135580026,305.0801307342737,315.4030943169719,2020-01-19 10:35:00
2020-01-19 10:40:00,0.24,0.252,0.572,0.293,0.621,0.6,210.0,14.2177,10.77775,6.3935,10.77775,6.3935,307.3178080654391,305.8460957161342,314.08637872579897,305.11156051681985,315.3794581661762,2020-01-19 10:40:00
2020-01-19 10:45:00,0.24,0.252,0.572,0.293,0.621,0.6,213.75,14.2177,10.77775,6.3935,10.77775,6.3935,307.3054631551991,305.84536602146204,314.2014204111011,305.1174233094753,315.42858119444566,2020-01-19 10:45:00
2020-01-19 10:50:00,0.204,0.254,0.527,0.305,0.722,0.6,217.5,14.2177,10.77775,6.3935,10.77775,6.3935,307.011141548221,305.85889970995436,313.82084618533753,305.2163179846889,316.51332796137393,2020-01-19 10:50:00
2020-01-19 10:55:00,0.204,0.254,0.527,0.305,0.722,0.6,221.25,14.2177,10.77775,6.3935,10.77775,6.3935,306.8557589592253,305.8513763244332,313.6929373336208,305.25237998410284,316.7979241266169,2020-01-19 10:55:00
2020-01-19 11:00:00,0.204,0.254,0.527,0.305,0.722,0.6,225.0,14.2177,10.77775,6.3935,10.77775,6.3935,306.7045469550216,305.8434738664434,313.5642007037434,305.28678972783155,317.0854267786257,2020-01-19 11:00:00
2020-01-19 11:05:00,0.204,0.254,0.527,0.305,0.722,0.6,224.33333333333334,14.2177,10.77775,6.3935,10.77775,6.3935,306.74944961095747,305.83958288257867,313.69752482223214,305.2736240682303,316.73661965514697,2020-01-19 11:05:00
2020-01-19 11:10:00,0.204,0.254,0.527,0.305,0.722,0.6,223.66666666666666,14.2177,10.77775,6.3935,10.77775,6.3935,306.7911408933409,305.8358064393031,313.8214206041802,305.26143426503285,316.41181884641804,2020-01-19 11:10:00
2020-01-19 11:15:00,0.204,0.254,0.527,0.305,0.722,0.6,223.0,14.2177,10.77775,6.3935,10.77775,6.3935,306.80492233854227,305.8383957075135,313.78052620549437,305.2734834739258,316.6971419682249,2020-01-19 11:15:00
2020-01-19 11:20:00,0.204,0.254,0.527,0.305,0.722,0.6,222.33333333333334,14.2177,10.77775,6.3935,10.77775,6.3935,306.81835613897607,305.840830721755,313.743908440531,305.2848290322745,316.96136328329186,2020-01-19 11:20:00
