time,ElecLoads[core_zn],ElecLoads[perimeter_zn_1],ElecLoads[perimeter_zn_2],ElecLoads[perimeter_zn_3],ElecLoads[perimeter_zn_4]
49971600.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49975200.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49978800.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49982400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49986000.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49989600.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49993200.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49996800.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
50000400.0,805.1708,610.361,362.07399999999996,610.361,362.07399999999996
50004000.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
50007600.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
50011200.0,322.06831999999997,244.1444,144.82959999999997,244.1444,144.82959999999997
50014800.0,322.06831999999997,244.1444,144.82959999999997,244.1444,144.82959999999997
50018400.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
50022000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
50025600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
50029200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
50032800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
50036400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
50040000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
50043600.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
50047200.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
50050800.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
50054400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
50058000.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
50061600.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
