Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 01/02  13:00:00,654347103.5913788,245545142.9837625,0.0,173690957.55979295,0.0,221437412.82482205,13643205.884177654,30384.338823529408,133310120.56079567,121510867.31381563,11799253.24698008 
 01/02  14:00:00,590773873.8823577,174077457.774216,0.0,173690957.55979295,0.0,229176847.66968299,13798226.539842233,30384.338823529408,106181416.37286802,94386155.2804861,11795261.092381914 
 01/02  15:00:00,542929680.2344223,139193260.13592369,0.0,173690957.55979295,0.0,216461331.18616648,13553747.013715594,30384.338823529408,98445738.73518698,90565198.55574383,7880540.17944316 
 01/02  16:00:00,536133102.03478887,132665087.78419505,0.0,173690957.55979295,0.0,216461331.18616648,13285341.165810822,30384.338823529408,107682482.41205067,99802858.81612912,7879623.595921544 
 01/02  17:00:00,583248970.9148828,151612552.2686846,0.0,173690957.55979295,17764800.0,226864935.58177094,13285341.165810822,30384.338823529408,114087570.71703597,106203323.28816487,7884247.428871088 
 01/02  18:00:00,627580363.939499,199816034.44326813,0.0,135092966.9909501,53294400.0,226061237.00064618,13285341.165810822,30384.338823529408,119308766.7359129,111431052.9184591,7877713.817453796 
 01/02  19:00:00,539066391.5514259,246295845.39068324,0.0,96494976.4221072,53294400.0,129665444.23400118,13285341.165810822,30384.33882352941,120415039.59930715,116441290.85204786,3973748.747259298 
 01/02  20:00:00,546578339.0734022,263055441.2643078,0.0,96494976.4221072,53294400.0,120417795.88235286,13285341.165810822,30384.338823529408,123055587.01923496,119082806.15754135,3972780.8616936064 
 01/02  21:00:00,536407419.4014013,310781507.44557127,0.0,57896985.85326433,53294400.0,101118800.5979314,13285341.165810822,30384.338823529408,146563631.79630883,142590632.0468501,3972999.7494587216 
 01/02  22:00:00,553235215.9670572,332233128.1870515,0.0,57896985.85326433,53294400.0,96494976.4221072,13285341.165810822,30384.338823529408,182905046.40620829,178933696.55190576,3971349.8543025038 
