,senHeaPow1_y,PSZACcontroller_oveHeaPer1_u,TDryBul,HGloHor,Occupancy[perimeter_zn_1],senTemRoom1_y,timestamp
2020-01-01 08:35:00,0.0,0.0,-7.616666666666667,190.25,0.0,291.5683499952701,2020-01-01 08:35:00
2020-01-01 08:40:00,0.0,0.0,-7.433333333333334,201.0,0.0,291.65982917840284,2020-01-01 08:40:00
2020-01-01 08:45:00,0.0,0.0,-7.25,211.75,0.0,291.7502806230361,2020-01-01 08:45:00
2020-01-01 08:50:00,0.0,0.0,-7.066666666666666,222.5,0.0,291.8406046858788,2020-01-01 08:50:00
2020-01-01 08:55:00,0.0,0.0,-6.883333333333333,233.25,0.0,291.9389567605714,2020-01-01 08:55:00
2020-01-01 09:00:00,0.0,0.0,-6.7,244.0,0.0,292.0371584627878,2020-01-01 09:00:00
2020-01-01 09:05:00,0.0,0.0,-6.558333333333334,252.08333333333334,0.0,292.14059417226673,2020-01-01 09:05:00
2020-01-01 09:10:00,0.0,0.0,-6.416666666666667,260.1666666666667,0.0,292.2438807887475,2020-01-01 09:10:00
2020-01-01 09:15:00,0.0,0.0,-6.275,268.25,0.0,292.347520799998,2020-01-01 09:15:00
2020-01-01 09:20:00,0.0,0.0,-6.133333333333334,276.3333333333333,0.0,292.4510411240029,2020-01-01 09:20:00
2020-01-01 09:25:00,0.0,0.0,-5.991666666666667,284.4166666666667,0.0,292.55201925414514,2020-01-01 09:25:00
2020-01-01 09:30:00,0.0,0.0,-5.85,292.5,0.0,292.6529325397711,2020-01-01 09:30:00
2020-01-01 09:35:00,0.0,0.0,-5.708333333333333,300.5833333333333,0.0,292.7392261535616,2020-01-01 09:35:00
2020-01-01 09:40:00,0.0,0.0,-5.566666666666666,308.6666666666667,0.0,292.8255963816104,2020-01-01 09:40:00
2020-01-01 09:45:00,0.0,0.0,-5.425,316.75,0.0,292.9060034614298,2020-01-01 09:45:00
2020-01-01 09:50:00,0.0,0.0,-5.283333333333333,324.8333333333333,0.0,292.9865346612444,2020-01-01 09:50:00
2020-01-01 09:55:00,0.0,0.0,-5.141666666666667,332.9166666666667,0.0,293.06730911403633,2020-01-01 09:55:00
2020-01-01 10:00:00,0.0,0.0,-5.0,341.0,0.0,293.14818362333034,2020-01-01 10:00:00
2020-01-01 10:05:00,0.0,0.0,-4.858333333333333,342.9166666666667,0.0,293.23291576968825,2020-01-01 10:05:00
2020-01-01 10:10:00,0.0,0.0,-4.716666666666667,344.8333333333333,0.0,293.31769735543475,2020-01-01 10:10:00
2020-01-01 10:15:00,0.0,0.0,-4.575,346.75,0.0,293.40156293828267,2020-01-01 10:15:00
2020-01-01 10:20:00,0.0,0.0,-4.433333333333334,348.6666666666667,0.0,293.4854697386513,2020-01-01 10:20:00
