,Time,datetime,T_OA,HgloHor1,Core_OccN,CORE_IntGaiTot,Core_HeaPow,Core_FanPow,Core_OAVol,P1_OccN,P1_IntGaiTot,P1_HeaPow,P1_FanPow,P1_OAVol,P2_OccN,P2_IntGaiTot,P2_HeaPow,P2_FanPow,P2_OAVol,P3_OccN,P3_IntGaiTot,P3_HeaPow,P3_FanPow,P3_OAVol,P4_OccN,P4_IntGaiTot,P4_HeaPow,P4_FanPow,P4_OAVol
528765,31812300,2020-01-04 04:45:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4389242e-06
528770,31812600,2020-01-04 04:50:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.439029e-06
528775,31812900,2020-01-04 04:55:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4391225e-06
528780,31813200,2020-01-04 05:00:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4392052e-06
528785,31813500,2020-01-04 05:05:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.439279e-06
528790,31813800,2020-01-04 05:10:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4393441e-06
528795,31814100,2020-01-04 05:15:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4394021e-06
528800,31814400,2020-01-04 05:20:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4394535e-06
528805,31814700,2020-01-04 05:25:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4394992e-06
528810,31815000,2020-01-04 05:30:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4395397e-06
