,timestamp,t_indoor_measured,t_indoor_predicted
2020-01-04 18:35:00,2020/01/04 18:35:00,20.700179212053172,20.7778028119007
2020-01-04 18:40:00,2020/01/04 18:40:00,20.69536093950569,20.778350696412588
2020-01-04 18:45:00,2020/01/04 18:45:00,20.652338399798452,20.766764173366653
2020-01-04 18:50:00,2020/01/04 18:50:00,19.29860379767922,20.71692494407364
2020-01-04 18:55:00,2020/01/04 18:55:00,17.856192182949087,19.444723147281593
2020-01-04 19:00:00,2020/01/04 19:00:00,17.802133807635926,18.691738022528966
2020-01-04 19:05:00,2020/01/04 19:05:00,17.734425832580484,18.266292941440838
2020-01-04 19:10:00,2020/01/04 19:10:00,17.766357081852732,18.031866131851586
2020-01-04 19:15:00,2020/01/04 19:15:00,17.79492760158888,17.920175259450616
2020-01-04 19:20:00,2020/01/04 19:20:00,17.721046718671403,17.877819753218034
2020-01-04 19:25:00,2020/01/04 19:25:00,17.65117407805394,17.834146473788735
2020-01-04 19:30:00,2020/01/04 19:30:00,17.58735108724005,17.779952856580337
2020-01-04 19:35:00,2020/01/04 19:35:00,17.526937858152337,17.709069771944087
2020-01-04 19:40:00,2020/01/04 19:40:00,17.495791707058117,17.626288830325507
2020-01-04 19:45:00,2020/01/04 19:45:00,17.46690488009358,17.54126269085225
2020-01-04 19:50:00,2020/01/04 19:50:00,17.436142267203422,17.460048507551164
2020-01-04 19:55:00,2020/01/04 19:55:00,17.407833285391973,17.38450259420182
2020-01-04 20:00:00,2020/01/04 20:00:00,17.340099677903368,17.319533424698704
2020-01-04 20:05:00,2020/01/04 20:05:00,17.276886687029844,17.25204096939808
2020-01-04 20:10:00,2020/01/04 20:10:00,17.24232068876546,17.18751315842644
2020-01-04 20:15:00,2020/01/04 20:15:00,17.211250934581017,17.13691218892052
2020-01-04 20:20:00,2020/01/04 20:20:00,17.191253523835655,17.0991108488314
2020-01-04 20:25:00,2020/01/04 20:25:00,17.174741897221566,17.07071476657802
2020-01-04 20:30:00,2020/01/04 20:30:00,17.148429804456043,17.04906969764744
2020-01-04 20:35:00,2020/01/04 20:35:00,17.125918780924394,17.027374439169364
2020-01-04 20:40:00,2020/01/04 20:40:00,17.09956594542166,17.005873891282874
2020-01-04 20:45:00,2020/01/04 20:45:00,17.07629896241957,16.98274995918655
2020-01-04 20:50:00,2020/01/04 20:50:00,17.05337243519665,16.95967858099391
2020-01-04 20:55:00,2020/01/04 20:55:00,17.032161003998624,16.937392384824648
2020-01-04 21:00:00,2020/01/04 21:00:00,17.006503307106982,16.91746694248235
2020-01-04 21:05:00,2020/01/04 21:05:00,16.9814826319967,16.899596067308664
2020-01-04 21:10:00,2020/01/04 21:10:00,16.955383784907042,16.884121022435124
2020-01-04 21:15:00,2020/01/04 21:15:00,16.929270657401503,16.870299748060404
2020-01-04 21:20:00,2020/01/04 21:20:00,16.904447382036892,16.85813168946595
2020-01-04 21:25:00,2020/01/04 21:25:00,16.878929810267948,16.847412111782546
2020-01-04 21:30:00,2020/01/04 21:30:00,16.8543173807862,16.837090747603952
2020-01-04 21:35:00,2020/01/04 21:35:00,16.82842666886802,16.826527932148906
2020-01-04 21:40:00,2020/01/04 21:40:00,16.803557291089476,16.814715875889533
2020-01-04 21:45:00,2020/01/04 21:45:00,16.776865735799163,16.80149009690905
2020-01-04 21:50:00,2020/01/04 21:50:00,16.751965764945396,16.78626191303738
