time,ElecLoads[core_zn],ElecLoads[perimeter_zn_1],ElecLoads[perimeter_zn_2],ElecLoads[perimeter_zn_3],ElecLoads[perimeter_zn_4],tdl
1069200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1072800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1076400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1080000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1083600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1087200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1090800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1094400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1098000,805.1708,610.361,362.074,610.361,362.074,5
1101600,483.10248,366.2166,217.2444,366.2166,217.2444,20
1105200,483.10248,366.2166,217.2444,366.2166,217.2444,20
1108800,322.06832,244.1444,144.8296,244.1444,144.8296,20
1112400,322.06832,244.1444,144.8296,244.1444,144.8296,20
1116000,161.03416,122.0722,72.4148,122.0722,72.4148,20
1119600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1123200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1126800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1130400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1134000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1137600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1141200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1144800,161.03416,122.0722,72.4148,122.0722,72.4148,20
1148400,161.03416,122.0722,72.4148,122.0722,72.4148,20
1152000,483.10248,366.2166,217.2444,366.2166,217.2444,20
1155600,483.10248,366.2166,217.2444,366.2166,217.2444,20
1159200,483.10248,366.2166,217.2444,366.2166,217.2444,20
1162800,483.10248,366.2166,217.2444,366.2166,217.2444,20
1166400,241.55124,183.1083,108.6222,183.1083,108.6222,20
1170000,241.55124,183.1083,108.6222,183.1083,108.6222,20
1173600,241.55124,183.1083,108.6222,183.1083,108.6222,5
1177200,241.55124,183.1083,108.6222,183.1083,108.6222,5
1180800,241.55124,183.1083,108.6222,183.1083,108.6222,5
1184400,80.51708,61.0361,36.2074,61.0361,36.2074,5
1188000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1191600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1195200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1198800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1202400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1206000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1209600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1213200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1216800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1220400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1224000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1227600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1231200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1234800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1238400,80.51708,61.0361,36.2074,61.0361,36.2074,20
